"Rank","Title","Studio","Total_gross","Theaters","Opening","Theaters_2","Open","Close"
"132","Bullet to the Head","WB",9489829,2404,4548201,2404,"2/1","3/14"
"133","Tyler Perry Presents Peeples","LGF",9177065,2041,4611534,2041,"5/10","6/13"
"134","Battle of the Year","SGem",8888355,2008,4603177,2008,"9/20","10/20"
"135","Movie 43","Rela.",8840453,2023,4805878,2023,"1/25","3/14"
"136","Mandela: Long Walk to Freedom","Wein.",8323085,1010,84283,4,"11/29","3/27"
"137","Before Midnight","SPC",8114627,897,246914,5,"5/24","11/7"
"138","Dhoom 3","Yash",8031955,239,3423508,239,"12/20","1/12"
"139","Machete Kills","ORF",8008161,2538,3837183,2538,"10/11","11/14"
"140","Paranoia","Rela.",7385015,2459,3528376,2459,"8/16","10/3"
"141","Jerusalem","NGE",7255853,33,NA,NA,"9/13","-"
"142","Black Nativity","FoxS",7018189,1525,3669530,1516,"11/27","1/16"
"143","The Spectacular Now","A24",6854611,770,197415,4,"8/2","12/12"
"144","The Grandmaster","Wein.",6594959,804,132617,7,"8/23","10/24"
"145","All Is Lost","RAtt.",6263670,483,93583,6,"10/18","2/27"
"146","Believe","ORF",6206566,1037,2007567,1037,"12/25","1/16"
"147","The Bling Ring","A24",5845732,650,214395,5,"6/14","9/12"
"148","Pulling Strings","LGF",5842961,438,2467168,387,"10/4","11/21"
"149","Closed Circuit","Focus",5750401,870,2464931,870,"8/28","9/26"
"150","The Wizard of Oz","WB",5633202,318,3093998,318,"9/20","10/17"
"151","Chennai Express","UTV",5307960,196,2220497,196,"8/8","10/3"
"152","Journey to the South Pacific","Imax",5136738,19,8137,1,"11/27","-"
"153","The Company You Keep","SPC",5133027,807,131718,5,"4/5","8/1"
"154","20 Feet from Stardom","RTWC",4946445,147,54596,3,"6/14","6/19"
"155","Much Ado About Nothing","RAtt.",4328849,222,171942,5,"6/7","10/10"
"156","Frances Ha","IFC",4069826,233,137398,4,"5/17","9/12"
"157","Yeh Jawaani Hai Deewani","Eros",3827466,161,1568677,161,"5/31","7/21"
"158","The To-Do List","CBS",3491669,591,1579402,591,"7/26","8/15"
"159","Metallica Through the Never","PH",3419967,589,1576561,305,"9/27","10/27"
"160","Emperor","RAtt.",3346265,311,1014099,260,"3/8","6/13"
"161","Stand Up Guys","LGF",3310031,670,1486390,659,"2/1","3/7"
"162","The Fifth Estate","BV",3255008,1769,1673351,1769,"10/18","12/5"
"163","Top Gun 3D","Par.",3018873,300,1965737,300,"2/8","2/21"
"164","In a World","RAtt.",2963902,144,70541,3,"8/9","12/5"
"165","Home Run","Gold.",2861020,381,1582466,381,"4/19","6/13"
"166","The Great Beauty","Jan.",2852400,77,23442,1,"11/15","4/20"
"167","Filly Brown","LGF",2850357,259,1478323,188,"4/19","5/30"
"168","Ram-Leela","Eros",2738863,204,1449174,204,"11/15","12/12"
"169","Grace Unplugged","RAtt.",2507201,511,998145,511,"10/4","12/5"
"170","The Sapphires","Wein.",2450867,126,38372,4,"3/22","7/25"
"171","The Gatekeepers","SPC",2415727,131,61552,3,"2/1","6/20"
"172","I'm In Love With a Church Girl","HTR",2387730,458,971826,457,"10/18","11/26"
"173","No","SPC",2343664,99,71742,4,"2/15","6/20"
"174","Trance","FoxS",2328743,443,131145,4,"4/5","6/6"
"175","The East","FoxS",2301839,195,77031,4,"5/31","8/8"
"176","Renoir","Gold.",2293798,86,65194,6,"3/29","9/26"
"177","The Christmas Candle","ELS",2258620,392,68655,5,"11/15","1/2"
"178","Blue Is the Warmest Color","IFC",2199787,142,100316,4,"10/25","3/13"
"179","Oldboy","FD",2193658,583,885382,583,"11/27","1/2"
"180","Krrish 3","Eros",2191534,208,1049560,208,"11/1","12/5"
"181","Austenland","SPC",2159041,274,40662,4,"8/16","1/2"
"182","The Saratov Approach","Purd.",2146999,84,137226,23,"10/9","3/9"
"183","2013 Oscar Nominated Short Films","Shrts.",2142342,266,371605,105,"2/1","3/21"
"184","Blackfish","Magn.",2073582,99,75962,5,"7/19","10/24"
"185","The Iceman","MNE",1969193,258,87946,4,"5/3","8/1"
"186","Fill the Void","SPC",1775316,64,59164,3,"5/24","10/3"
"187","Girl Rising","Gathr",1727259,170,81640,34,"3/7","3/20"
"188","The Attack","Cohen",1720325,55,27379,3,"6/21","10/3"
"189","Stoker","FoxS",1714221,275,160547,7,"3/1","5/9"
"190","Unfinished Song","Wein.",1702668,91,25728,2,"6/21","10/3"
"191","Bhaag Milkha Bhaag","Relbig.",1636731,140,647112,140,"7/12","8/22"
"192","Love is All You Need","SPC",1631709,101,36746,4,"5/3","10/3"
"193","Stories We Tell","RAtt.",1600145,70,27053,2,"5/10","10/10"
"194","Race 2","UTV",1579940,153,884757,153,"1/25","2/28"
"195","Bless Me Ultima","Aren",1553826,263,470109,263,"2/22","4/11"
"196","Kon-Tiki","Wein.",1517410,75,22168,2,"4/26","8/8"
"197","Disconnect","LD",1436900,180,124000,15,"4/12","5/23"
"198","Girl Most Likely","RAtt.",1378591,351,694447,351,"7/19","9/12"
"199","I'm So Excited","SPC",1368119,99,97328,5,"6/28","11/7"
"200","Wadjda","SPC",1347747,87,41253,3,"9/13","1/30"
"201","The Past","SPC",1331747,77,29270,3,"12/20","4/17"
"202","The Ultimate Life","HTR",1327149,412,659912,412,"9/6","10/10"
"203","The Kings of Summer","CBS",1315590,65,58962,4,"5/31","7/25"
"204","The Invisible Woman","SPC",1234254,153,31948,3,"12/25","5/15"
"205","Inequality for All","RTWC",1205273,103,140888,28,"9/27","2/27"
"206","The Lords of Salem","Anch.",1165882,354,642942,354,"4/19","5/26"
"207","Romeo and Juliet","Rela.",1162635,461,520116,461,"10/11","12/5"
"208","Still Mine","Gold.",1159336,41,19920,4,"5/3","10/17"
"209","Kai Po Che","UTV",1122527,110,522765,110,"2/22","4/28"
"210","What Maisie Knew","MNE",1066471,122,21480,1,"5/3","8/1"
"211","Thanks for Sharing","RAtt.",1065881,269,536591,269,"9/20","10/31"
"212","Phantom","RCR",1034589,1118,508000,1118,"3/1","3/17"
"213","Kill Your Darlings","SPC",1030064,78,53452,4,"10/16","2/27"
"214","Short Term 12","Cdgm.",1013100,75,56206,4,"8/23","2/20"
"215","Ginger & Rosa","A24",1012973,99,42838,3,"3/15","6/6"
"216","From Up on Poppy Hill","GK",1002895,49,57585,2,"3/15","6/20"
"217","Lore","MBox",970325,54,31498,6,"2/8","7/4"
"218","Raanjhana","Eros",903232,102,414211,102,"6/21","7/18"
"219","Alone Yet Not Alone","S/IMA",887851,103,125775,11,"9/27","7/3"
"220","Generation Iron","TVC",849521,84,245000,53,"9/20","12/15"
"221","Only God Forgives","RTWC",779188,81,313958,78,"7/19","9/5"
"222","Satyagraha","UTV",738525,83,412148,83,"8/30","9/29"
"223","Hannah Arendt","Zeit.",717205,21,31270,1,"5/29","11/7"
"224","56 Up","FRun",701278,33,22088,1,"1/4","7/18"
"225","Muscle Shoals","Magn.",696241,56,13901,1,"9/27","3/13"
"226","Besharam","Relbig.",679866,217,364962,217,"10/2","10/17"
"227","The Berlin File","CJ",665210,NA,NA,NA,"2/15","-"
"228","Parkland","EXCL",653651,257,310246,257,"10/4","11/7"
"229","The Hunt","Magn.",613308,47,43045,4,"7/12","10/3"
"230","Walking the Camino: Six Ways to Santiago","FEF",609313,11,NA,NA,"9/6","-"
"231","To The Wonder","Magn.",587615,60,116551,17,"4/12","7/11"
"232","Salinger","Wein.",583633,138,86956,4,"9/6","10/17"
"233","Lootera","Eros",581813,100,314958,100,"7/3","7/18"
"234","Museum Hours","CGld",561457,19,29400,2,"6/28","3/6"
"235","The Reluctant Fundamentalist","IFC",552959,58,30920,3,"4/26","6/13"
"236","The Lost Medallion","MTE",549632,68,143532,68,"3/1","5/16"
"237","Scatter My Ashes at Bergdorf's","EOne",518342,38,39630,4,"5/3","7/25"
"238","The Face Reader","PM&E",515876,19,159720,19,"10/4","10/24"
"239","The Inevitable Defeat of Mister and Pete","LGF",494608,147,254279,147,"10/11","10/31"
"240","Act of Killing","Drft.",486919,29,27450,1,"7/19","3/20"
"241","New World","WGUSA",457806,24,129954,24,"3/22","4/18"
"242","Upstream Color","erbp",444098,43,28649,1,"4/5","6/27"
"243","Sound City","Vari.",422853,50,62842,16,"2/1","1/2"
"244","A Hijacking","Magn.",414437,32,39392,7,"6/21","10/3"
"245","Grand Masti","Eros",413903,64,223222,64,"9/13","10/10"
"246","Phata Poster Nikla Hero","Eros",410526,94,260188,94,"9/20","10/10"
"247","Ain't Them Bodies Saints","IFC",396519,44,26419,3,"8/16","10/3"
"248","In the House","Cohen",389757,36,31441,3,"4/19","6/13"
"249","Dirty Wars","IFC",384473,31,63504,4,"6/7","8/8"
"250","The Armstrong Lie","SPC",383294,77,28992,5,"11/8","2/20"
"251","At Any Price","SPC",380594,81,16095,4,"4/24","8/1"
"252","Personal Tailor","CL",375892,9,112224,9,"12/20","1/30"
"253","Puella Magi Madoka Magica the Movie: Rebellion","Elev.",375627,76,189514,37,"12/6","1/9"
"254","Hava Nagila","ICir",370218,24,8218,1,"3/1","11/7"
"255","Shootout at Wadala","Eros",369573,89,212346,89,"5/3","5/30"
"256","When Comedy Went to School","ICir",369065,13,17001,5,"7/31","4/24"
"257","Lovelace","RTWC",356582,118,184536,118,"8/9","9/5"
"258","The Angels' Share","IFC",346669,38,18837,3,"4/12","6/6"
"259","Drinking Buddies","Magn.",343341,33,19505,2,"8/23","11/21"
"260","Koch","Zeit.",342941,16,35196,2,"2/1","5/23"
"261","The Shining","WB",342749,NA,NA,NA,"10/7","10/7"
"262","Gori Tere Pyaar Mein","Relbig.",342184,112,199463,112,"11/22","12/12"
"263","Starbuck","E1",340058,32,15530,3,"3/22","5/23"
"264","Happy People: A Year in the Taiga","MBox",338987,23,10481,1,"1/25","6/13"
"265","Diana","EOne",335359,100,67754,38,"11/1","11/28"
"266","Camp","Free",324977,32,7785,1,"2/22","6/23"
"267","Adore","EXCL",318982,57,119806,57,"9/6","10/3"
"268","Not Today","Free",318121,41,96347,41,"4/12","7/25"
"269","Linsanity","KE",302645,16,99462,9,"10/4","1/23"
"270","Go Goa Gone","Eros",298457,92,170044,92,"5/10","5/30"
"271","Room 237","IFC",296359,28,29693,2,"3/29","5/16"
"272","You Will Be My Son","Cohen",285151,21,15301,1,"8/16","10/31"
"273","Blancanieves","Cohen",279735,27,25264,4,"3/29","5/16"
"274","Himmatwala","UTV",270880,99,197770,99,"3/29","4/21"
"275","Great Expectations","MSF",258656,86,88500,86,"11/8","11/24"
"276","The Attacks of 26/11","Eros",248346,51,159619,51,"3/1","3/24"
"277","The Summit","IFC",243550,70,20904,8,"10/4","11/14"
"278","Like Someone in Love","IFC",239056,23,21813,3,"2/15","4/25"
"279","A Place at the Table","Magn.",231378,35,92257,35,"3/1","5/16"
"280","InAPPropriate Comedy","Free",228004,275,156414,275,"3/22","3/28"
"281","Singh Saab The Great","Eros",225668,54,138127,54,"11/22","12/12"
"282","ABCD","UTV",222098,25,95236,25,"2/8","3/7"
"283","Haute Cuisine","Wein.",217883,60,14387,3,"9/20","10/31"
"284","2001: A Space Odyssey","WB",214618,NA,NA,NA,"1/2","-"
"285","Casablanca","WB",208608,NA,NA,NA,"4/3","-"
"286","Arthur Newman","Cdgm.",207853,248,112788,248,"4/26","6/6"
"287","Prince Avalanche","Magn.",205139,23,36694,14,"8/9","11/21"
"288","Ghanchakkar","UTV",203044,89,143616,89,"6/28","7/7"
"289","Crystal Fairy","IFC",202370,20,25052,2,"7/12","9/12"
"290","No Place on Earth","Magn.",200238,27,13813,2,"4/5","8/8"
"291","Cutie and the Boxer","RTWC",200036,16,21098,3,"8/16","3/20"
"292","Free Angela and All Political Prisoners","Code",194102,16,69306,16,"4/5","7/18"
"293","Midnight's Children","P/108",190022,17,12200,2,"4/26","7/25"
"294","The Anonymous People","AM",187459,13,NA,NA,"8/16","12/19"
"295","Populaire","Wein.",179091,58,15690,3,"9/6","10/24"
"296","A.C.O.D.","TFA",175705,42,19001,3,"10/4","11/7"
"297","Broken Circle Breakdown","Trib.",175058,21,7100,1,"11/1","4/10"
"298","Afternoon Delight","TFA",174496,39,27352,2,"8/30","9/22"
"299","Somm","Gold.",174197,9,28050,5,"6/21","7/11"
"300","Cinco De Mayo: La Batalla","LGF",173472,43,83586,20,"5/3","5/23"
