"Title","Rank","Studio","Total_gross","Theaters","Opening","Theaters_2","Open","Close","imdb_Rating","Genres","Runtime","imdb_Votes","MPAA_rating","Critics_score","Opening_percentage","Opening_per_theater","Theater_change","Runtime_duration","imdb_votes_groups","total_gross_groups"
"now you see me",27,"LG/S",117723989,3082,29350389,2925,2013-05-31,2013-09-26,7.3,"Crime | Mystery | Thriller",115,360719,"PG-13",5,24.93,10034.3,157,118,5,4
"oblivion",41,"Uni.",89107235,3792,37054485,3783,2013-04-19,2013-06-27,7,"Action | Adventure | Mystery | Sci-Fi",124,316201,"PG-13",5.4,41.58,9795,9,69,5,3
"oldboy",179,"FD",2193658,583,885382,583,2013-11-27,2014-01-02,5.7,"Action | Drama | Mystery | Thriller",104,40055,"R",4.2,40.36,1518.7,0,36,3,1
"olympus has fallen",36,"FD",98925640,3106,30373794,3098,2013-03-22,2013-07-11,6.5,"Action | Thriller",119,167169,"R",4.8,30.7,9804.3,8,111,5,3
"only god forgives",221,"RTWC",779188,81,313958,78,2013-07-19,2013-09-05,5.7,"Crime | Drama",90,69808,"R",4,40.29,4025.1,3,48,3,1
"out of the furnace",129,"Rela.",11330849,2101,5220288,2101,2013-12-04,2014-02-06,6.8,"Crime | Drama | Thriller",116,67926,"R",5.4,46.07,2484.7,0,64,3,2
"oz the great and powerful",10,"BV",234911825,3912,79110453,3912,2013-03-08,2013-07-18,6.4,"Adventure | Family | Fantasy",130,160607,"PG",5.9,33.68,20222.5,0,132,5,5
"pacific rim",34,"WB",101802906,3285,37285325,3275,2013-07-12,2013-10-17,7,"Action | Adventure | Sci-Fi",132,315965,"PG-13",7.2,36.63,11384.8,10,97,5,4
"paranoia",140,"Rela.",7385015,2459,3528376,2459,2013-08-16,2013-10-03,5.6,"Drama | Thriller",106,23429,"PG-13",0.6,47.78,1434.9,0,48,2,1
"parker",118,"FD",17616641,2238,7008222,2224,2013-01-25,2013-04-04,6.2,"Action | Crime | Thriller",118,76037,"R",4.1,39.78,3151.2,14,69,3,2
"parkland",228,"EXCL",653651,257,310246,257,2013-10-04,2013-11-07,6.3,"Drama | History | Mystery | Thriller",93,9778,"PG-13",4.9,47.46,1207.2,0,34,1,1
"percy jackson: sea of monsters",51,"Fox",68559554,3080,14401054,3031,2013-08-07,2014-01-30,5.9,"Adventure | Family | Fantasy",106,72144,"PG",4.1,21.01,4751.3,49,176,3,3
"phantom",212,"RCR",1034589,1118,508000,1118,2013-03-01,2013-03-17,5.8,"History | Thriller | War",98,10416,"R",2.5,49.1,454.4,0,16,1,1
"philomena",80,"Wein.",37709979,1225,128435,4,2013-11-22,2014-05-22,7.7,"Biography | Drama",98,61692,"PG-13",9.2,0.34,32108.8,1221,181,3,2
"planes",39,"BV",90288712,3716,22232291,3702,2013-08-09,2013-12-19,5.7,"Animation | Adventure | Comedy | Family",91,30004,"PG",2.6,24.62,6005.5,14,132,2,3
"prince avalanche",287,"Magn.",205139,23,36694,14,2013-08-09,2013-11-21,6.4,"Comedy | Drama",94,13261,"R",8.3,17.89,2621,9,104,1,1
"prisoners",58,"WB",61002302,3290,20817053,3260,2013-09-20,2013-12-05,8.1,"Crime | Drama | Mystery | Thriller",153,281822,"R",8.2,34.13,6385.6,30,76,5,3
"r.i.p.d.",85,"Uni.",33618855,2852,12691415,2852,2013-07-19,2013-09-26,5.6,"Action | Comedy | Sci-Fi",96,77169,"PG-13",1.3,37.75,4450,0,69,3,2
"red 2",66,"LG/S",53262560,3016,18048422,3016,2013-07-19,2013-10-17,6.7,"Action | Comedy | Crime | Thriller",116,103449,"PG-13",4.3,33.89,5984.2,0,90,3,3
"riddick",76,"Uni.",42025135,3117,19030375,3107,2013-09-06,2013-10-31,6.4,"Action | Sci-Fi | Thriller",119,105873,"R",5.8,45.28,6125,10,55,3,2
"runner runner",113,"Fox",19316646,3026,7706712,3026,2013-10-04,2013-12-08,5.6,"Crime | Thriller",91,45902,"R",0.8,39.9,2546.8,0,65,3,2
"rush",96,"Uni.",26947624,2308,187289,5,2013-09-20,2013-11-21,8.2,"Action | Biography | Drama | Sport",123,232572,"R",8.9,0.7,37457.8,2303,62,5,2
"safe haven",48,"Rela.",71349120,3223,21401594,3223,2013-02-14,2013-05-30,6.7,"Drama | Romance | Thriller",115,58934,"PG-13",1.2,30,6640.3,0,105,3,3
"saving mr. banks",43,"BV",83301580,2671,413373,15,2013-12-13,2014-04-17,7.6,"Biography | Comedy | Drama | History | Music",125,95255,"PG-13",8,0.5,27558.2,2656,125,3,3
"scary movie 5",89,"W/Dim.",32015787,3402,14157367,3402,2013-04-12,2013-07-25,3.5,"Comedy",86,42578,"PG-13",0.4,44.22,4161.5,0,104,3,2
"short term 12",214,"Cdgm.",1013100,75,56206,4,2013-08-23,2014-02-20,8,"Drama",96,36753,"R",9.9,5.55,14051.5,71,181,3,1
"side effects",88,"ORF",32172757,2605,9303145,2605,2013-02-08,2013-05-16,7.1,"Crime | Drama | Thriller",106,130089,"R",8.3,28.92,3571.3,0,97,4,2
"snitch",75,"LG/S",42930462,2511,13167607,2511,2013-02-22,2013-05-30,6.5,"Action | Drama | Thriller",112,56599,"PG-13",5.6,30.67,5244,0,97,3,2
"star trek into darkness",11,"Par.",228778661,3907,70165559,3868,2013-05-16,2013-09-12,7.8,"Action | Adventure | Sci-Fi",132,338980,"PG-13",8.7,30.67,18140,39,119,5,5
"stoker",189,"FoxS",1714221,275,160547,7,2013-03-01,2013-05-09,6.9,"Drama | Mystery | Thriller",99,73801,"R",6.9,9.37,22935.3,268,69,3,1
"the best man holiday",50,"Uni.",70525195,2041,30107555,2024,2013-11-15,2014-01-09,6.7,"Comedy | Drama",123,10089,"R",6.8,42.69,14875.3,17,55,1,3
"the big wedding",104,"LGF",21819348,2633,7591663,2633,2013-04-26,2013-07-04,5.6,"Comedy",89,31726,"R",0.7,34.79,2883.3,0,69,2,2
"the bling ring",147,"A24",5845732,650,214395,5,2013-06-14,2013-09-12,5.6,"Biography | Crime | Drama",90,57022,"R",6,3.67,42879,645,90,3,1
"the book thief",108,"Fox",21488481,1316,105005,4,2013-11-08,2014-04-10,7.6,"Drama | War",131,77582,"PG-13",4.6,0.49,26251.2,1312,153,3,2
"the call",69,"TriS",51872378,2507,17118745,2507,2013-03-15,2013-06-09,6.7,"Crime | Thriller",94,76626,"R",4.4,33,6828.4,0,86,3,3
"the conjuring",19,"WB",137400141,3115,41855326,2903,2013-07-19,2013-10-31,7.5,"Horror",112,232570,"R",8.6,30.46,14418,212,104,5,4
"the counselor",121,"Fox",16973715,3044,7842930,3044,2013-10-25,2014-01-16,5.4,"Crime | Drama | Thriller",117,68867,"R",3.4,46.21,2576.5,0,83,3,2
"the croods",14,"Fox",187168425,4065,43639736,4046,2013-03-22,2013-09-19,7.3,"Animation | Adventure | Comedy | Family | Fantasy",98,123716,"PG",7,23.32,10785.9,19,181,4,4
"the east",175,"FoxS",2301839,195,77031,4,2013-05-31,2013-08-08,6.9,"Drama | Thriller",116,36210,"PG-13",7.4,3.35,19257.8,191,69,3,1
"the family",81,"Rela.",36918811,3091,14034764,3091,2013-09-13,2014-01-09,6.3,"Comedy | Crime | Thriller",111,74005,"R",2.8,38.02,4540.5,0,118,3,2
"the fifth estate",162,"BV",3255008,1769,1673351,1769,2013-10-18,2013-12-05,6.1,"Biography | Drama | Thriller",128,22644,"R",3.7,51.41,945.9,0,48,2,1
"the grandmaster",144,"Wein.",6594959,804,132617,7,2013-08-23,2013-10-24,6.5,"Action | Biography | Drama",130,20791,"PG-13",7.7,2.01,18945.3,797,62,2,1
"the great beauty",166,"Jan.",2852400,77,23442,1,2013-11-15,2014-04-20,7.7,"Drama",142,40936,"Unrated",9.1,0.82,23442,76,156,3,1
"the great gatsby",18,"WB",144840419,3550,50085185,3535,2013-05-10,2013-08-22,7.3,"Drama | Romance",143,302198,"PG-13",4.8,34.58,14168.4,15,104,5,4
"the hangover part iii",30,"WB",112200072,3565,41671198,3555,2013-05-23,2013-08-15,5.9,"Comedy",100,176452,"R",1.9,37.14,11721.9,10,84,5,4
"the heat",15,"Fox",159582188,3184,39115043,3181,2013-06-28,2013-12-12,6.7,"Action | Comedy | Crime",117,110998,"R",6.5,24.51,12296.5,3,167,3,4
"the hobbit: the desolation of smaug",8,"WB",258366855,3928,73645197,3903,2013-12-13,2014-04-17,8,"Adventure | Fantasy",161,393416,"PG-13",7.4,28.5,18868.9,25,125,5,5
"the host",97,"ORF",26627201,3202,10600112,3202,2013-03-29,2013-05-30,5.9,"Adventure | Romance | Sci-Fi",125,78912,"PG-13",0.8,39.81,3310.5,0,62,3,2
"the hunger games: catching fire",1,"LGF",424668047,4163,158074286,4163,2013-11-22,2014-04-03,7.7,"Adventure | Sci-Fi",146,403381,"PG-13",8.9,37.22,37971.2,0,132,5,6
"the incredible burt wonderstone",103,"WB",22537881,3160,10177257,3160,2013-03-15,2013-05-09,5.9,"Comedy | Romance",100,54508,"PG-13",3.6,45.16,3220.7,0,55,3,2
"the internship",73,"Fox",44672764,3399,17325307,3366,2013-06-07,2013-09-12,6.3,"Comedy",119,136665,"PG-13",3.4,38.78,5147.2,33,97,4,2
"the kings of summer",203,"CBS",1315590,65,58962,4,2013-05-31,2013-07-25,7.2,"Comedy | Drama",95,47396,"R",7.5,4.48,14740.5,61,55,3,1
"the last exorcism part ii",125,"CBS",15179302,2700,7728354,2700,2013-03-01,2013-04-04,3.9,"Drama | Horror | Thriller",88,11970,"PG-13",1.6,50.91,2862.4,0,34,1,2
"the last stand",128,"LGF",12050299,2913,6281433,2913,2013-01-18,2013-02-28,6.4,"Action | Crime | Thriller",107,102311,"R",6,52.13,2156.3,0,41,3,2
"the lone ranger",40,"BV",89302115,3904,29210849,3904,2013-07-03,2013-10-10,6.5,"Action | Adventure | Western",149,156895,"PG-13",3.1,32.71,7482.3,0,99,5,3
"the mortal instruments: city of bones",90,"SGem",31165421,3118,9336957,3118,2013-08-21,2013-10-06,6,"Action | Adventure | Fantasy | Mystery | Romance",130,89497,"PG-13",1.2,29.96,2994.5,0,46,3,2
"the past",201,"SPC",1331747,77,29270,3,2013-12-20,2014-04-17,7.9,"Drama | Mystery",130,27355,"PG-13",9.3,2.2,9756.7,74,118,2,1
"the purge",55,"Uni.",64473115,2591,34058360,2536,2013-06-07,2013-08-08,5.6,"Horror | Thriller",85,107655,"R",3.8,52.83,13430,55,62,3,3
"the secret life of walter mitty",60,"Fox",58236838,2922,12765508,2909,2013-12-25,2014-04-10,7.4,"Adventure | Comedy | Drama | Fantasy",114,195931,"PG",5,21.92,4388.3,13,106,5,3
"the smurfs 2",49,"Sony",71017784,3867,17548389,3866,2013-07-31,2013-11-17,5.4,"Animation | Adventure | Comedy | Family | Fantasy",105,22906,"PG",1.4,24.71,4539.2,1,109,2,3
